64, 112, 54, 0.000011809
128, 118, 97, 0.000015034
256, 127, 231, 0.000024758
512, 143, 327, 0.000044529
1024, 178, 871, 0.000093468
2048, 181, 1161, 0.000180076
4096, 237, 3711, 0.000375927
8192, 261, 6171, 0.000728658
16384, 275, 13255, 0.001467302
32768, 307, 26623, 0.001373294
65536, 339, 52527, 0.001119343
131072, 353, 106239, 0.002205942
262144, 442, 230631, 0.005464006
524288, 469, 511935, 0.008857629
1048576, 524, 837799, 0.018148806
2097152, 556, 1723519, 0.036564655
4194304, 596, 3732423, 0.074485748
8388608, 664, 6649279, 0.158041936
16777216, 704, 15733191, 0.333860226
33554432, 705, 31466382, 0.702627430
67108864, 949, 63728127, 1.424510626
134217728, 950, 127456254, 2.868590121
268435456, 956, 226588897, 5.792056007
