64, 112, 54, 0.000754937
128, 118, 97, 0.000020023
256, 127, 231, 0.000018340
512, 143, 327, 0.000018032
1024, 178, 871, 0.000028517
2048, 181, 1161, 0.000029496
4096, 237, 3711, 0.000043694
8192, 261, 6171, 0.000078217
16384, 275, 13255, 0.000147456
32768, 307, 26623, 0.000286624
65536, 339, 52527, 0.000563606
131072, 353, 106239, 0.001156459
262144, 442, 230631, 0.002366836
524288, 469, 511935, 0.004817897
1048576, 524, 837799, 0.009927622
2097152, 556, 1723519, 0.020357081
4194304, 596, 3732423, 0.041556637
8388608, 664, 6649279, 0.085507517
16777216, 704, 15733191, 0.163404934
33554432, 705, 31466382, 0.304856064
67108864, 949, 63728127, 0.603792894
134217728, 950, 127456254, 1.232234966
268435456, 956, 226588897, 2.520436078
